Дата;Город;Товар;Количество;Сумма
08.04.2025;Москва;Ноутбук ProBook 14;5;364950
27.02.2025;санкт-петербург;Наушники с шумоподавлением;3; 38 970 
16.03.2025;Москва;  Роутер Wi-Fi 6;9; 62 910 
02.01.2025; Санкт-Петербург;Сумка для ноутбука;5;12450
24.03.2025; Санкт-Петербург;Видеокарта RTX;1; 64 990 
10.05.2025;МОСКВА;Коврик для мыши XL;9; 7 110 
05.01.2025;МОСКВА;Видеокарта RTX;6;389940
17.05.2025;Санкт-Петербург;Ноутбук ProBook 14;1; 72 990 
05.04.2025;Казань ;Мышь беспроводная;6;8940
24.05.2025;санкт-петербург;Сумка для ноутбука;10; 24 900 
04.06.2025;санкт-петербург;Ноутбук Aspire 15;10; 549 900 
19.05.2025;Москва;Сумка для ноутбука;3;7470
05.04.2025;Казань;  Ноутбук ProBook 14;10;729900
;;;;
14.02.2025;Казань;Сетевой фильтр;9;8910
24.06.2025;москва;Наушники с шумоподавлением;9; 116 910 
06.03.2025;санкт-петербург;  Видеокарта RTX;5;324950
10.05.2025; Москва;SSD 1 ТБ;4;33960
26.05.2025;казань;SSD 1 ТБ;2;16980
27.04.2025;СПб;SSD 1 ТБ;1; 8 490 
21.04.2025; Санкт-Петербург;  Наушники с шумоподавлением;4;51960
05.03.2025;Москва ;Колонка Bluetooth;4; 23 960 
02.02.2025;МОСКВА;Оперативная память 16 ГБ;8; 34 320 
;;;;
14.02.2025;казань;  Сумка для ноутбука;4;9960
25.01.2025;Москва ;Колонка Bluetooth;9;53910
;;;;
27.04.2025;Москва;Роутер Wi-Fi 6;8; 55 920 
02.03.2025; Москва;Клавиатура механическая;6; 29 940 
05.04.2025;казань;Микрофон USB;4;35960
09.06.2025;Казань;Ноутбук Aspire 15;6;329940
20.02.2025;казань;Сетевой фильтр;9; 8 910 
16.02.2025;СПб;Ноутбук Aspire 15;5; 274 950 
10.03.2025;Казань ;Ноутбук Aspire 15;5;274950
;;;;
06.03.2025;санкт-петербург;  Клавиатура механическая;5; 24 950 
05.04.2025;санкт-петербург;Сетевой фильтр;9;8910
25.02.2025;Москва ;"Монитор 27"" IPS";9; 170 910 
;;;;
27.01.2025;Казань ;  Наушники с шумоподавлением;10;129900
04.04.2025;Казань;Сумка для ноутбука;2;4980
;;;;
15.04.2025;Казань;Коврик для мыши XL;5;3950
07.06.2025;Казань;  Ноутбук ProBook 14;7; 510 930 
16.01.2025; Москва;Сетевой фильтр;3;2970
14.06.2025; Санкт-Петербург;Коврик для мыши XL;7; 5 530 
05.05.2025;казань;Клавиатура механическая;3;14970
27.02.2025;Москва;SSD 1 ТБ;8;67920
08.02.2025;санкт-петербург;Мышь беспроводная;5; 7 450 
26.01.2025;казань;  Ноутбук Aspire 15;4; 219 960 
;;;;
28.06.2025;москва;Ноутбук ProBook 14;7; 510 930 
05.01.2025;казань;Колонка Bluetooth;10; 59 900 
08.03.2025;СПб;  Колонка Bluetooth;7; 41 930 
06.06.2025;Казань ;Сетевой фильтр;9; 8 910 
13.06.2025;казань;Сетевой фильтр;7; 6 930 
08.04.2025; Москва;Мышь беспроводная;8;11920
17.05.2025;МОСКВА;Колонка Bluetooth;5; 29 950 
03.03.2025;Казань ;Наушники с шумоподавлением;1; 12 990 
07.01.2025;Казань ;Наушники с шумоподавлением;8; 103 920 
07.01.2025;Москва;Сумка для ноутбука;4;9960
18.02.2025;санкт-петербург;Роутер Wi-Fi 6;8;55920
16.05.2025;Санкт-Петербург;Сумка для ноутбука;6;14940
28.05.2025;москва;Ноутбук Aspire 15;5;274950
05.03.2025; Москва;  Колонка Bluetooth;7;41930
11.06.2025; Санкт-Петербург;Сумка для ноутбука;8; 19 920 
18.06.2025;СПб;Ноутбук ProBook 14;9; 656 910 
02.06.2025;МОСКВА;  Мышь беспроводная;4; 5 960 
12.04.2025;Москва ;Сумка для ноутбука;8; 19 920 
17.01.2025;казань;SSD 1 ТБ;1;8490
04.02.2025;Москва ;Мышь беспроводная;4; 5 960 
26.03.2025;Санкт-Петербург;  Видеокарта RTX;7; 454 930 
22.03.2025;Москва;"Монитор 27"" IPS";7; 132 930 
;;;;
;;;;
28.04.2025;санкт-петербург;  Клавиатура механическая;9;44910
19.06.2025;санкт-петербург;  Ноутбук ProBook 14;2;145980
02.06.2025; Москва;Ноутбук Aspire 15;4;219960
03.04.2025;СПб;Колонка Bluetooth;10;59900
13.03.2025;Казань;"Монитор 27"" IPS";9;170910
27.02.2025; Москва;  Роутер Wi-Fi 6;6; 41 940 
08.04.2025; Санкт-Петербург;Сетевой фильтр;3;2970
10.05.2025;Москва;"Монитор 27"" IPS";5; 94 950 
13.06.2025;санкт-петербург;Клавиатура механическая;2; 9 980 
04.03.2025;Москва;Веб-камера Full HD;7; 27 930 
03.01.2025;Санкт-Петербург;Оперативная память 16 ГБ;7; 30 030 
18.06.2025;Москва ;  Веб-камера Full HD;7; 27 930 
03.02.2025;МОСКВА;Микрофон USB;7; 62 930 
24.02.2025;казань;Наушники с шумоподавлением;8; 103 920 
27.03.2025;казань;Оперативная память 16 ГБ;8; 34 320 
05.05.2025;санкт-петербург;Наушники с шумоподавлением;8; 103 920 
24.03.2025;Казань ;Сумка для ноутбука;10;24900
12.04.2025;Москва ;  Наушники с шумоподавлением;10;129900
24.01.2025;СПб;  Коврик для мыши XL;5;3950
22.04.2025;СПб;  SSD 1 ТБ;4; 33 960 
03.04.2025; Санкт-Петербург;Роутер Wi-Fi 6;9;62910
02.05.2025;Санкт-Петербург;Клавиатура механическая;4;19960
19.01.2025;Казань ;Роутер Wi-Fi 6;6;41940
;;;;
24.05.2025;Казань ;Колонка Bluetooth;8; 47 920 
17.06.2025; Москва;Ноутбук Aspire 15;8; 439 920 
27.01.2025;Казань;Видеокарта RTX;5; 324 950 
16.03.2025;МОСКВА;  Коврик для мыши XL;6; 4 740 
28.01.2025;Санкт-Петербург;Веб-камера Full HD;4;15960
15.04.2025;МОСКВА;Веб-камера Full HD;3;11970
;;;;
15.02.2025;казань;  Роутер Wi-Fi 6;1;6990
19.01.2025;Москва ;Веб-камера Full HD;6; 23 940 
17.04.2025;казань;  Роутер Wi-Fi 6;10; 69 900 
20.04.2025; Москва;"  Монитор 27"" IPS";3; 56 970 
23.03.2025;Москва ;Роутер Wi-Fi 6;7;48930
21.04.2025;Казань ;  Веб-камера Full HD;9; 35 910 
